"centers"	"weightClass"	"region"	"stratumName"
"gnzUcTWED3ca"	"Class5"	"Region9"	"papa"
"gnzUcTWED3ca"	"Class1"	"Region9"	"papa"
"gnzUcTWED3ca"	"Class4"	"Region9"	"papa"
"GnLuIZnMVdE7"	"Class4"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class4"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class3"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class1"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class3"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class4"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class1"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class3"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class4"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class2"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class4"	"Region6"	"papa"
"GnLuIZnMVdE7"	"Class5"	"Region6"	"papa"
"gn0nRltBubPF"	"Class3"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class5"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class4"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class4"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class4"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class1"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class5"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class3"	"Region2"	"alpha"
"gn0nRltBubPF"	"Class3"	"Region2"	"alpha"
"N6IpOEMywM1t"	"Class1"	"Region2"	"alpha"
"N6IpOEMywM1t"	"Class1"	"Region2"	"alpha"
"N6IpOEMywM1t"	"Class3"	"Region2"	"alpha"
"N6IpOEMywM1t"	"Class3"	"Region2"	"alpha"
"N6IpOEMywM1t"	"Class2"	"Region2"	"alpha"
"JGtRrf46jwFp"	"Class1"	"Region10"	"alpha"
"JGtRrf46jwFp"	"Class2"	"Region10"	"alpha"
"UiskEftL5SlQ"	"Class1"	"Region7"	"papa"
"UiskEftL5SlQ"	"Class1"	"Region7"	"papa"
"lktTRoMXqIok"	"Class2"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class3"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class2"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class4"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class4"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class3"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class2"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class2"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class2"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class1"	"Region8"	"alpha"
"lktTRoMXqIok"	"Class2"	"Region8"	"alpha"
"KcI7f8e3DSMN"	"Class3"	"Region3"	"tango"
"KcI7f8e3DSMN"	"Class5"	"Region3"	"tango"
"KcI7f8e3DSMN"	"Class4"	"Region3"	"tango"
"KcI7f8e3DSMN"	"Class4"	"Region3"	"tango"
"KcI7f8e3DSMN"	"Class5"	"Region3"	"tango"
"KcI7f8e3DSMN"	"Class3"	"Region3"	"tango"
"KcI7f8e3DSMN"	"Class4"	"Region3"	"tango"
"spOBElgZDd8t"	"Class1"	"Region9"	"papa"
"spOBElgZDd8t"	"Class4"	"Region9"	"papa"
"spOBElgZDd8t"	"Class4"	"Region9"	"papa"
"spOBElgZDd8t"	"Class5"	"Region9"	"papa"
"spOBElgZDd8t"	"Class4"	"Region9"	"papa"
"spOBElgZDd8t"	"Class5"	"Region9"	"papa"
"spOBElgZDd8t"	"Class4"	"Region9"	"papa"
"VBYJmq90I6rD"	"Class2"	"Region10"	"papa"
"VBYJmq90I6rD"	"Class3"	"Region10"	"papa"
"VBYJmq90I6rD"	"Class2"	"Region10"	"papa"
"VBYJmq90I6rD"	"Class2"	"Region10"	"papa"
"VBYJmq90I6rD"	"Class2"	"Region10"	"papa"
"VBYJmq90I6rD"	"Class3"	"Region10"	"papa"
"ZuuaKsvceAz4"	"Class3"	"Region8"	"papa"
"ZuuaKsvceAz4"	"Class1"	"Region8"	"papa"
"2DVBywZvGBeg"	"Class5"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class5"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class3"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class1"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class3"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class4"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class3"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class2"	"Region1"	"tango"
"2DVBywZvGBeg"	"Class4"	"Region1"	"tango"
"JsaK6RCyksvb"	"Class3"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class2"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class4"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class4"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class4"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class4"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class2"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class3"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class4"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class5"	"Region10"	"tango"
"JsaK6RCyksvb"	"Class2"	"Region10"	"tango"
"w4hdhTrMSp3k"	"Class4"	"Region1"	"tango"
"w4hdhTrMSp3k"	"Class1"	"Region1"	"tango"
"w4hdhTrMSp3k"	"Class4"	"Region1"	"tango"
"w4hdhTrMSp3k"	"Class4"	"Region1"	"tango"
"w4hdhTrMSp3k"	"Class3"	"Region1"	"tango"
"w4hdhTrMSp3k"	"Class4"	"Region1"	"tango"
"IkDQRonTDJBT"	"Class1"	"Region8"	"papa"
"IkDQRonTDJBT"	"Class2"	"Region8"	"papa"
"IkDQRonTDJBT"	"Class1"	"Region8"	"papa"
"IkDQRonTDJBT"	"Class1"	"Region8"	"papa"
"IkDQRonTDJBT"	"Class3"	"Region8"	"papa"
"IkDQRonTDJBT"	"Class3"	"Region8"	"papa"
"IkDQRonTDJBT"	"Class1"	"Region8"	"papa"
"ibSvSbLIWxIo"	"Class1"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class5"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class2"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class1"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class1"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class4"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class2"	"Region2"	"tango"
"ibSvSbLIWxIo"	"Class2"	"Region2"	"tango"
"6VhA6QjMgdwg"	"Class2"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class5"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class2"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class1"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class5"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class4"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class2"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class2"	"Region8"	"alpha"
"6VhA6QjMgdwg"	"Class2"	"Region8"	"alpha"
"bwy8fIX6LWOj"	"Class2"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class3"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class2"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class2"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class3"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class3"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class3"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class2"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class1"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class1"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class2"	"Region8"	"tango"
"bwy8fIX6LWOj"	"Class3"	"Region8"	"tango"
"EXXlgajvVvf2"	"Class3"	"Region8"	"alpha"
"EXXlgajvVvf2"	"Class3"	"Region8"	"alpha"
"pQl8nDoGGyqs"	"Class1"	"Region10"	"papa"
"pQl8nDoGGyqs"	"Class1"	"Region10"	"papa"
"pQl8nDoGGyqs"	"Class2"	"Region10"	"papa"
"pQl8nDoGGyqs"	"Class2"	"Region10"	"papa"
"pQl8nDoGGyqs"	"Class3"	"Region10"	"papa"
"pQl8nDoGGyqs"	"Class1"	"Region10"	"papa"
"izU8pdq8sWLV"	"Class4"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class4"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class3"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class4"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class5"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class4"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class5"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class4"	"Region9"	"tango"
"izU8pdq8sWLV"	"Class4"	"Region9"	"tango"
"tBu6funVwjhM"	"Class3"	"Region2"	"papa"
"tBu6funVwjhM"	"Class2"	"Region2"	"papa"
"tBu6funVwjhM"	"Class1"	"Region2"	"papa"
"tBu6funVwjhM"	"Class4"	"Region2"	"papa"
"tBu6funVwjhM"	"Class3"	"Region2"	"papa"
"Ha3KCa36naib"	"Class4"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class1"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class1"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class4"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class5"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class3"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class3"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class4"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class4"	"Region2"	"alpha"
"Ha3KCa36naib"	"Class4"	"Region2"	"alpha"
"fbtL1wSn28j9"	"Class1"	"Region10"	"papa"
"8de8YkvG673V"	"Class4"	"Region2"	"papa"
"8de8YkvG673V"	"Class4"	"Region2"	"papa"
"8de8YkvG673V"	"Class3"	"Region2"	"papa"
"8de8YkvG673V"	"Class4"	"Region2"	"papa"
"8de8YkvG673V"	"Class4"	"Region2"	"papa"
"8de8YkvG673V"	"Class4"	"Region2"	"papa"
"8de8YkvG673V"	"Class5"	"Region2"	"papa"
"8de8YkvG673V"	"Class5"	"Region2"	"papa"
"F5usnZaO4o8b"	"Class2"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class3"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class1"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class2"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class1"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class5"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class1"	"Region10"	"tango"
"F5usnZaO4o8b"	"Class2"	"Region10"	"tango"
"QIgu5lYCFjpZ"	"Class3"	"Region8"	"alpha"
"QIgu5lYCFjpZ"	"Class4"	"Region8"	"alpha"
"QIgu5lYCFjpZ"	"Class3"	"Region8"	"alpha"
"RXOMgLZioO4m"	"Class2"	"Region1"	"tango"
"RXOMgLZioO4m"	"Class5"	"Region1"	"tango"
"RXOMgLZioO4m"	"Class5"	"Region1"	"tango"
"RXOMgLZioO4m"	"Class5"	"Region1"	"tango"
"RXOMgLZioO4m"	"Class3"	"Region1"	"tango"
"r9AYZaxnFgta"	"Class2"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class4"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class2"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class2"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class3"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class3"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class2"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class1"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class3"	"Region1"	"papa"
"r9AYZaxnFgta"	"Class3"	"Region1"	"papa"
"mIu3MpYhQ5St"	"Class2"	"Region8"	"papa"
"mIu3MpYhQ5St"	"Class3"	"Region8"	"papa"
"mIu3MpYhQ5St"	"Class5"	"Region8"	"papa"
"mIu3MpYhQ5St"	"Class5"	"Region8"	"papa"
"mIu3MpYhQ5St"	"Class3"	"Region8"	"papa"
"mIu3MpYhQ5St"	"Class2"	"Region8"	"papa"
"mIu3MpYhQ5St"	"Class2"	"Region8"	"papa"
"6kPhAP4HHsry"	"Class3"	"Region10"	"tango"
"VedqkRauqyEY"	"Class4"	"Region8"	"papa"
"VedqkRauqyEY"	"Class2"	"Region8"	"papa"
"VedqkRauqyEY"	"Class4"	"Region8"	"papa"
"VedqkRauqyEY"	"Class2"	"Region8"	"papa"
"VedqkRauqyEY"	"Class1"	"Region8"	"papa"
"VedqkRauqyEY"	"Class3"	"Region8"	"papa"
"VedqkRauqyEY"	"Class5"	"Region8"	"papa"
"VedqkRauqyEY"	"Class1"	"Region8"	"papa"
"VedqkRauqyEY"	"Class3"	"Region8"	"papa"
"VedqkRauqyEY"	"Class1"	"Region8"	"papa"
"eeNP7X98Vv9l"	"Class4"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class5"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class3"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class3"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class2"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class4"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class4"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class4"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class3"	"Region10"	"papa"
"eeNP7X98Vv9l"	"Class2"	"Region10"	"papa"
"Ejl9EbXTWImM"	"Class4"	"Region10"	"tango"
"Ejl9EbXTWImM"	"Class5"	"Region10"	"tango"
"Ejl9EbXTWImM"	"Class2"	"Region10"	"tango"
"Ejl9EbXTWImM"	"Class4"	"Region10"	"tango"
"0WZmKNHtujHP"	"Class1"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class1"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class1"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class1"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class1"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class2"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class3"	"Region2"	"papa"
"0WZmKNHtujHP"	"Class2"	"Region2"	"papa"
